cpu_type	rank	name	nb_id	nb_url	codename	series	l2_cache_mb	l3_cache_mb	tdp_watt	tdp_turbo_watt	base_mhz	boost_mhz	cores	threads	process_nm	architecture	is_64bit	graphics_card	perf_rating	cinebench_r10_32bit_single	cinebench_r10_32bit_multi	cinebench_r15_cpu_single_64bit	cinebench_r15_cpu_multi_64bit	cinebench_r20_single	cinebench_r20	cinebench_r23_single_core	cinebench_r23_multi_core	cinebench_2024_cpu_single_core	cinebench_2024_cpu_multi_core	geekbench_4_4_64_bit_single_core_score	geekbench_4_4_64_bit_multi_core_score	geekbench_5_5_single_core	geekbench_5_5_multi_core	geekbench_6_7_single_core	geekbench_6_7_multi_core	3dmark06_cpu	x264_pass_1	x264_pass_2	x265	truecrypt_aes	truecrypt_twofish	truecrypt_serpent	blender	blender_v3_3_classroom_cpu	7_zip_single	7_zip	superpi_1m	superpi_32m	wprime_32	wprime_1024	webxprt_3	webxprt_4_overall	crossmark_overall	cinebench_2026_cpu_single_thread	cinebench_2026_cpu_multi	octane_v2_total_score	jetstream_2	jetstream_2_2_2_total	speedometer_2_0	sunspider_1_0_total_score	geekbench_2	geekbench_3_32_bit_single_core_score	geekbench_3_32_bit_multi_core_score	passmark_performancetest_mobile_v1_cpu_tests
laptop	384	Intel Xeon W-2145	429479	https://www.notebookcheck.net/Intel-Xeon-W-2145-Workstation-CPU-Benchmarks-and-Specs.429479.0.html	Skylake-W	Xeon	8.0	11.0	140		3700	4500	8	16	14	x86	True		64.829			177	1682							4996	34132	1192	9146																							46837				90.9				
laptop	385	AMD Ryzen 5 7540U	716526	https://www.notebookcheck.net/AMD-Ryzen-5-7540U-Processor-Benchmarks-and-Specs.716526.0.html	Phoenix (Zen4)	Phoenix (Zen 4)	6.0	16.0	28		3200	4900	6	12	4	x86	True	Radeon 740M	4814.0	7365	27647	264	1676	657	4036	1699	10383			7418	31918	1866	8296	2519	8971	11925	226.3	75.5	9.56	8.7	1	0.64	413	687	6039	35368	9.2	695			286													
laptop	386	AMD Ryzen 5 6600U	589902	https://www.notebookcheck.net/AMD-Ryzen-5-6600U-Processor-Benchmarks-and-Specs.589902.0.html	Rembrandt-U (Zen 3+)	Rembrandt (Zen 3+)	3.0	16.0	28		2900	4500	6	12	6	x86	True	Radeon 660M	53.15	6242	32097	233	1493	570	3623	1456.5	9159.5	80	408	6382.5	33338	1483	7529	1977	8310	9908	212	71.45	11.7	9.3	1.3	0.86	415	488.5	5486	44320	8.12	692.42	4.69	146.55	274	217	1517											
laptop	387	AMD Ryzen 9 6980HS	591449	https://www.notebookcheck.net/AMD-Ryzen-9-6980HS-Processor-Benchmarks-and-Specs.591449.0.html	Rembrandt-HS (Zen 3+)	Rembrandt (Zen 3+)	4.0	16.0	35		3300	5000	8	16	6	x86	True	Radeon 680M																																														
laptop	388	AMD Ryzen Z1	716527	https://www.notebookcheck.net/AMD-Ryzen-Z1-Processor-Benchmarks-and-Specs.716527.0.html	Phoenix (Zen4)	Phoenix (Zen 4)	6.0	16.0	30		3200	4900	6	12	4	x86	True	Radeon 740M	41.8													1827	7674	2331	8779																													
laptop	389	AMD Ryzen 9 4900HS	454860	https://www.notebookcheck.net/AMD-Ryzen-9-4900HS-Processor-Benchmarks-and-Specs.454860.0.html	Renoir (Zen 2)	Renoir (Ryzen 4000 APU)	4.0	8.0	35		3000	4300	8	16	7	x86	True	Vega 8	25.214	5866	37938	193	1863	495	4288					5372	30230	1218	7675	1602	7402	12448	223	106	12.19	11.2	1.9	1.2	297		4634	48577	9.5	547	3.28	88.2						38616								
laptop	390	Intel Core i7-10875H	458968	https://www.notebookcheck.net/Intel-Core-i7-10875H-Processor-Benchmarks-and-Specs.458968.0.html	Comet Lake-H	Comet Lake	2.0	16.0	45		2300	5100	8	16	14	x86	True	UHD Graphics 630	34.329	7803	44805	202	1594.5	483.5	3391.5	1241.5	8889.5			5803	31346	1300	7799	1769.5	7355	12944.5	242.4	103	12.1	10.3	1.8	1.1	322.5		5319	44947	7.7	431.7			239						147.1							
laptop	391	Intel Core i5-1245U	589634	https://www.notebookcheck.net/Intel-Core-i5-1245U-Processor-Benchmarks-and-Specs.589634.0.html	Alder Lake-U	Alder Lake-M	9.5	12.0	15		1200	4400	10	12	10	x86	True	Iris Xe G7 80EUs	55.25	8303	37663	242	1311	649	3153	1690	8199			7065	33040	1698.5	8609.5	2136	8356	12162	263	78.35	9.47	9.2	1.5	0.87	388	712	5097	35918	8.39	442.77	5.44	229.1	271	240	1577											
desktop	392	Intel Core i7-10700	573769	https://www.notebookcheck.net/Intel-Core-i7-10700-Processor-Benchmarks-and-Specs.573769.0.html	Comet Lake	Comet Lake	2.0	16.0	65		2900	4800	8	16	14	x86	True	UHD Graphics 630	40.914	7611	41156	196	1455			1234	8532			5726	32174	1299	8173	1650	5385		236	84.8	11.6	10.3	1.8	1.1	315.4		5293	43007	8.08	439.6	3.26	119.5	244													
laptop	393	AMD Ryzen AI 7 445	1197764	https://www.notebookcheck.net/AMD-Ryzen-AI-7-445-Processor-Benchmarks-and-Specs.1197764.0.html	Gorgon Point	Strix / Gorgon Point	6.0	8.0	28	54	2000	4600	6	12	4	x86	True	Radeon 840M	55.85			254	1723	702	4118	1806	10590	105.7	600.5			1887.5	8811.5	2607.5	10323.5				14.25				308.5	488.5	5347	41308					298.5	251	1594.5	434	2591									
laptop	394	Intel Xeon W-11855M	539147	https://www.notebookcheck.net/Intel-Xeon-W-11855M-Processor-Benchmarks-and-Specs.539147.0.html	Tiger Lake-H	Tiger Lake	7.5	18.0	45		3200	4900	6	12	10	x86	True	UHD Graphics Xe 32EUs (Tiger Lake-H)	42.1													1573	7191	2325	8977																													
